"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","architectures","attention_probs_dropout_prob","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","batch_size","bf16","bf16_full_eval","bos_token_id","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","do_eval","do_predict","do_train","dtype","enable_jit_checkpoint","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","greater_is_better","hidden_act","hidden_dropout_prob","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_decoder","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","layer_norm_eps","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","metric_for_best_model","model/num_parameters","model_type","num_attention_heads","num_hidden_layers","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","pad_token_id","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","project","push_to_hub","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","save_on_each_node","save_only_model","save_steps","save_strategy","seed","skip_memory_metrics","tie_word_embeddings","torch_compile","trackio_space_id","train_sampling_strategy","transformers_version","type_vocab_size","use_cache","use_cpu","use_liger_kernel","vocab_size","warmup_steps","weight_decay","epoch","eval/aupr","eval/fpr_at_90_recall","eval/fpr_at_95_recall","eval/loss","eval/roc_auc","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval_aupr","eval_fpr_at_90_recall","eval_fpr_at_95_recall","eval_loss","eval_roc_auc","eval_runtime","eval_samples_per_second","eval_steps_per_second","test/aupr","test/fpr_at_90_recall","test/fpr_at_95_recall","test/loss","test/roc_auc","test/runtime","test/samples_per_second","test/steps_per_second","test_aupr","test_fpr_at_90_recall","test_fpr_at_95_recall","test_loss","test_roc_auc","test_runtime","test_samples_per_second","test_steps_per_second","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"final_best_model","finished","-","","","2026-03-03T01:20:58.000Z","561","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","8","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","true","false","[]","0","false","false","false","false","1","false","true","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.00002693641761908895","length","true","-1","passive","warning","true","false","true","500","steps","linear","1","514","-1","aupr","124646401","roberta","12","12","5","adamw_torch_fused","false","./best_roberta_classifier","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","epoch","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","256","0.07175187627173145","5","0.9524095166936056","1","1","0.7122293710708618","0.950938607608357","3.6206","432.525","54.135","0.9524095166936056","1","1","0.7122293710708618","0.950938607608357","3.6206","432.525","54.135","0.9882835115065508","1","1","0.2786506712436676","0.9890056269421352","8.2756","456.766","57.156","0.9882835115065508","1","1","0.2786506712436676","0.9890056269421352","8.2756","456.766","57.156","12771760509117744","5","8845","0.03152431920170784","0.0000010851089179421093","0.1150248031616211","0.3252259637758245","480.6691","147.17","18.401"
"trial_9","finished","-","","","2026-03-03T01:03:34.000Z","636","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.000009372406276368848","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_9","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","109","0.08519368591843329","3","0.9054782988084736","1","1","0.39925211668014526","0.9017035047113876","6.2198","251.778","31.512","0.9054782988084736","1","1","0.39925211668014526","0.9017035047113876","6.2198","251.778","31.512","","","","","","","","","","","","","","","","","7673982305054472","3","1329","19.506025314331055","7.682300226531844e-8","1.3280744552612305","1.729997532272626","621.9331","68.245","2.137"
"trial_8","finished","-","","","2026-03-03T00:49:35.000Z","833","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.0000014912090981082222","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_8","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","434","0.02088094418166514","3","0.8723572376049613","1","1","0.4618343114852905","0.8664247768268555","9.6591","162.127","81.063","0.8723572376049613","1","1","0.4618343114852905","0.8664247768268555","9.6591","162.127","81.063","","","","","","","","","","","","","","","","","4241004828299772","3","5307","49.62992858886719","2.4481167217044486e-9","1.7059053421020507","2.0922792182032484","814.9124","52.084","6.512"
"trial_7","finished","-","","","2026-03-03T00:38:52.000Z","637","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.000001419708256066596","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_7","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","135","0.03034506505635405","3","0.8346617289819859","1","1","0.5052454471588135","0.8237898575900073","6.228","251.445","31.471","0.8346617289819859","1","1","0.5052454471588135","0.8237898575900073","6.228","251.445","31.471","","","","","","","","","","","","","","","","","7673982305054472","3","1329","8.30756950378418","1.1890353903405328e-8","2.0656843185424805","2.442384424202418","622.6603","68.166","2.134"
"trial_6","finished","-","","","2026-03-03T00:28:09.000Z","637","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.000009142032532342929","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_6","false","1","8","8","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","175","0.049643295753764555","3","0.9121237739103598","1","1","0.38520675897598267","0.90769937154312","6.2368","251.09","31.426","0.9121237739103598","1","1","0.38520675897598267","0.90769937154312","6.2368","251.09","31.426","","","","","","","","","","","","","","","","","7673982305054472","3","1329","17.007139205932617","7.922038589551932e-8","1.3379926681518557","1.7648412533681854","621.6915","68.272","2.138"
"trial_5","finished","-","","","2026-03-03T00:14:18.000Z","825","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.0000010770138610701312","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_5","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","425","0.017424791186209744","3","0.8598145119021829","1","1","0.47521892189979553","0.8514709936077797","9.6911","161.592","80.796","0.8598145119021829","1","1","0.47521892189979553","0.8514709936077797","9.6911","161.592","80.796","","","","","","","","","","","","","","","","","4241004828299772","3","5307","33.22260665893555","1.764873184875266e-9","1.890395736694336","2.209980020330791","806.1652","52.649","6.583"
"trial_4","finished","-","","","2026-03-03T00:04:08.000Z","604","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.000005894178530080776","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_4","false","1","4","4","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","148","0.05989830296099585","3","0.9069262687711166","1","1","0.406883180141449","0.9036314466578262","6.8336","229.16","57.363","0.9069262687711166","1","1","0.406883180141449","0.9036314466578262","6.8336","229.16","57.363","","","","","","","","","","","","","","","","","5906002887128088","3","2655","16.437715530395508","1.4106530187668387e-8","1.57026948928833","1.7340020393472158","589.3254","72.021","4.505"
"trial_3","finished","-","","","2026-03-02T23:50:20.000Z","822","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.00002693641761908895","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_3","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","256","0.07175187627173145","3","0.9333737188061638","1","1","0.5461810231208801","0.9341474076357592","9.6115","162.93","81.465","0.9333737188061638","1","1","0.5461810231208801","0.9341474076357592","9.6115","162.93","81.465","","","","","","","","","","","","","","","","","4241004828299772","3","5307","28.57607650756836","4.26631045243935e-8","0.7137928485870362","1.6427838492802314","804.8484","52.735","6.594"
"trial_2","finished","-","","","2026-03-02T23:36:31.000Z","823","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.000005201267794063028","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_2","false","1","2","2","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","171","0.05274727160417211","3","0.9129576065651068","1","1","0.43180209398269653","0.9085801572039296","9.6155","162.862","81.431","0.9129576065651068","1","1","0.43180209398269653","0.9085801572039296","9.6155","162.862","81.431","","","","","","","","","","","","","","","","","4241004828299772","3","5307","6.878058433532715","8.101663230627769e-9","1.2135194778442382","1.7360102784865","803.9419","52.795","6.601"
"trial_1","finished","-","","","2026-03-02T23:26:21.000Z","604","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.000015415698563052565","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_1","false","1","4","4","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","281","0.01520542449857516","3","0.928803151185867","1","1","0.404634565114975","0.9262545894641724","6.8067","230.067","57.59","0.928803151185867","1","1","0.404634565114975","0.9262545894641724","6.8067","230.067","57.59","","","","","","","","","","","","","","","","","5906002887128088","3","2655","7.41856050491333","3.896132745506124e-8","1.2375800132751464","1.5671602708920696","589.2683","72.028","4.506"
"trial_0","finished","-","","","2026-03-02T23:16:03.000Z","612","","roberta-base","true","false","false","true","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","0.1","false","true","false","","false","false","0","0","false","0","false","true","1800","[]","false","true","false","false","float32","false","2","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","gelu","0.1","768","false","every_save","<HUB_TOKEN>","LABEL_0","","false","[]","no","0.02","3072","false","false","0","","0","0.00001","0.000005675261942087826","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","514","-1","","124646401","roberta","12","12","3","adamw_torch_fused","false","./temp_results_trial_0","false","1","4","4","false","huggingface","false","true","[""wandb""]","false","true","false","false","500","no","42","true","true","false","trackio","random","5.2.0","1","false","false","false","50265","367","0.0053137197711126795","3","0.9044354708193264","1","1","0.4138469994068146","0.8993400631882158","6.7574","231.748","58.011","0.9044354708193264","1","1","0.4138469994068146","0.8993400631882158","6.7574","231.748","58.011","","","","","","","","","","","","","","","","","5906002887128088","3","2655","15.857190132141112","1.4882679918062482e-8","1.6403467178344726","1.7807453033389793","583.7807","72.705","4.548"
